Code Géographique;Ville;Menages;Population;Etrangers;Marocains;Longitude;Latitude
13.061.01.01.;Meknès;126319;520428;1132;519296;-5.554722;33.895000
13.061.01.03.;Al Machouar - Stinia;1264;4664;11;4653;-5.548603;33.886569
13.061.01.05.;Boufakrane;2902;12941;15;12926;-5.485646;33.755795
13.061.01.07.;Toulal;4434;19077;19;19058;-5.593951;33.898863
13.061.01.09.;Moulay Driss Zerhoun;3022;11615;12;11603;-5.521051;34.055902
13.061.01.11.;Ouislane;19562;87910;30;87880;-5.481713;33.902072
13.171.01.01.;Agourai;3770;16651;8;16643;-5.587986;33.642538
13.171.01.03.;Ain Taoujdate;6486;28288;12;28276;-5.208400;33.940329
13.171.01.05.;El Hajeb;8633;35282;18;35264;-5.367784;33.685735
13.171.01.07.;Sabaa Aiyoun;5570;26277;6;26271;-5.375634;33.905349
13.271.01.01.;Azrou;13854;54350;73;54277;-5.231888;33.434731
13.271.01.03.;Ifrane;3373;14659;237;14422;-5.110955;33.522806
14.131.01.01.;Boulemane;1803;7104;2;7102;-4.730340;33.362516
14.131.01.02.;Imouzzer Marmoucha;1027;4213;0;4213;-4.294673;33.471382
14.131.01.03.;Missour;5923;25584;13;25571;-3.995497;33.046081
14.131.01.05.;Outat El Haj;3523;16388;1;16387;-3.728277;33.343342
14.231.01.01.;Agdal;37421;142407;1457;140950;-4.996403;34.048873
14.231.01.03.;Méchouar Fès Jdid;5416;20560;23;20537;-4.998746;34.055998
14.231.01.05.;Saiss;48983;207345;1413;205932;-4.979357;33.928824
14.231.01.07.;Fès-Médina;17342;70592;212;70380;-4.976876;34.063081
14.231.01.09.;Jnan El Ouard;43333;201011;47;200964;-4.966263;34.066739
14.231.01.11.;El Mariniyine;47898;209494;109;209385;-5.033580;34.058800
14.231.01.13.;Zouagha;57346;260663;254;260409;-5.036452;34.014180
14.451.01.01.;Bhalil;3468;12997;9;12988;-4.867622;33.851294
14.451.01.03.;El Menzel;3142;12641;6;12635;-4.546971;33.841231
14.451.01.05.;Imouzzer Kandar;4571;19125;20;19105;-5.015646;33.731167
14.451.01.07.;Ribate El Kheir;3979;16739;17;16722;-4.413065;33.823798
14.451.01.09.;Sefrou;20236;79887;118;79769;-4.835315;33.830524
14.591.01.01.;Moulay Yacoub;982;4612;1;4611;-5.178402;34.087448
15.531.01.01.;Ghafsai;1546;6361;20;6341;-4.911728;34.634006
15.531.01.03.;Karia Ba Mohamed;4158;18762;9;18753;-5.218838;34.367058
15.531.01.05.;Taounate;8583;37616;24;37592;-4.639869;34.536917
15.531.01.09.;Tissa;2298;11195;0;11195;-4.666995;34.288207
15.561.01.01.;Aknoul;1038;4403;0;4403;-3.862985;34.649551
15.561.01.05.;Oued Amlil;2154;10405;2;10403;-4.266668;34.187662
15.561.01.07.;Tahla;6242;27729;6;27723;-4.425926;34.054290
15.561.01.11.;Taza;34425;148456;103;148353;-3.998048;34.210560
